"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2002","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","9.7"
"2003","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","9.5"
"2004","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","9.8"
"2005","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","7.6"
"2006","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","6.1"
"2007","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","4.7"
"2008","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","5.9"
"2009","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","13.3"
"2010","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","20.3"
"2011","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","18.6"
"2012","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","17.1"
"2013","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","14.9"
"2014","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","14.3"
"2015","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","14.2"
"2016","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","11.0"
"2017","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","9.7"
"2018","Nedarbo lygis","20–64","Kaimas","Moterys","proc.","8.3"
"1998","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","8.4"
"1999","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","6.5"
"2000","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","10.9"
"2001","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","11.0"
"2002","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","9.9"
"2003","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","9.4"
"2004","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","9.4"
"2005","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","7.8"
"2006","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","6.6"
"2007","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","4.6"
"2008","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","5.0"
"2009","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","13.1"
"2010","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","19.2"
"2011","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","16.8"
"2012","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","16.2"
"2013","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","14.2"
"2014","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","13.6"
"2015","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","13.4"
"2016","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","9.6"
"2017","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","7.8"
"2018","Nedarbo lygis","25–54","Kaimas","Moterys","proc.","6.9"
"1998","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"1999","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2000","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2001","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2002","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2003","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","6.1"
"2004","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","9.0"
"2005","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","4.0"
"2006","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2007","Nedarbo lygis","55–64","Kaimas","Moterys","proc.",
"2008","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","5.9"
"2009","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","11.9"
"2010","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","16.4"
"2011","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","18.8"
"2012","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","15.6"
"2013","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","12.3"
"2014","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","13.1"
"2015","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","14.0"
"2016","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","12.3"
"2017","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","12.8"
"2018","Nedarbo lygis","55–64","Kaimas","Moterys","proc.","11.9"
"1998","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"1999","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2000","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2001","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2002","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2003","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2004","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2005","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2006","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2007","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2008","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2009","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2010","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2011","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2012","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2013","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2014","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2015","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2016","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2017","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
"2018","Nedarbo lygis","65+","Kaimas","Moterys","proc.",
